timestamp,message
1743523663765,"INIT_START Runtime Version: nodejs:16.v70	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:46b99f635743b15febf77bc6d1f44226c4c9a8f3011afaeab9001daeca28753c
"
1743523664594,"START RequestId: 85719e1f-1614-4c33-8ce2-c0002c7658b1 Version: 193
"
1743523664609,"2025-04-01T16:07:44.609Z	85719e1f-1614-4c33-8ce2-c0002c7658b1	INFO	~~~~~~~~~~~~ Session ended with reason: USER_INITIATED ~~~~~~~~~~~~
      
"
1743523664610,"2025-04-01T16:07:44.610Z	85719e1f-1614-4c33-8ce2-c0002c7658b1	INFO	~~~~~~~~~~~~ Session ended ~~~~~~~~~~~~ {""version"":""1.0"",""session"":{""new"":false,""sessionId"":""amzn1.echo-api.session.1ce2c31d-c5df-4a0f-8f81-150eee9660d6"",""application"":{""applicationId"":""amzn1.ask.skill.d1e4936f-5976-4d95-81e8-52fbebe0a304""},""attributes"":{""awaitingStoryConfirmation"":false,""storyRequestId"":null},""user"":{""userId"":""amzn1.ask.account.AMAWPTB5STJEFTXAFYTT23YNQSUGEW2NUHDS3OHHVD46BTJED366XMHW5FWDZAAAFES6UMW4KJKK5RYPECJSLPB7IVNYGMMH3AMTP54KMH7AW5SV2AGDZ3GNZFZEFLISWJ2YVWNHNEKKXJXRS774F4UFKDC7SS4VTXRHPTNCTDRBXEIXN4PHLZADLSMLHO6BMXKA4MIXO6NOT3K3QISMY7LKQW6NSSXGJMOFD5JSVGOA""}},""context"":{""Viewports"":[{""type"":""APL"",""id"":""medHub"",""shape"":""RECTANGLE"",""dpi"":160,""presentationType"":""OVERLAY"",""canRotate"":false,""configuration"":{""current"":{""mode"":""HUB"",""video"":{""codecs"":[""H_264_42"",""H_264_41""]},""size"":{""type"":""DISCRETE"",""pixelWidth"":1280,""pixelHeight"":800}}}}],""Viewport"":{""experiences"":[{""arcMinuteWidth"":221,""arcMinuteHeight"":162,""canRotate"":false,""canResize"":false}],""mode"":""HUB"",""shape"":""RECTANGLE"",""pixelWidth"":1280,""pixelHeight"":800,""dpi"":160,""currentPixelWidth"":1280,""currentPixelHeight"":800,""touch"":[""SINGLE""],""keyboard"":[""DIRECTION""],""video"":{""codecs"":[""H_264_42"",""H_264_41""]}},""System"":{""application"":{""applicationId"":""amzn1.ask.skill.d1e4936f-5976-4d95-81e8-52fbebe0a304""},""user"":{""userId"":""amzn1.ask.account.AMAWPTB5STJEFTXAFYTT23YNQSUGEW2NUHDS3OHHVD46BTJED366XMHW5FWDZAAAFES6UMW4KJKK5RYPECJSLPB7IVNYGMMH3AMTP54KMH7AW5SV2AGDZ3GNZFZEFLISWJ2YVWNHNEKKXJXRS774F4UFKDC7SS4VTXRHPTNCTDRBXEIXN4PHLZADLSMLHO6BMXKA4MIXO6NOT3K3QISMY7LKQW6NSSXGJMOFD5JSVGOA""},""device"":{""deviceId"":""amzn1.ask.device.AMA5QN53C36KSES6V4SLZTQLQM3NAKYFALEIHEVH5ABOKNPDJM5JSCLI3SW5A5JAGTZO3RRJXODQMN7X3WPT3VP4EXW3DDAU2ZHE35K77U57VQN6FCSRFJIJKT7TBYDFD7XQMHH2GK7GISY2L7ABQTCCP24L3NDS47MOPBKBUEE2GHRZOQ66QAQ67VUENJZFFBT6LLKHOMQBTU4P"",""supportedInterfaces"":{""Alexa.Presentation.APL"":{""runtime"":{""maxVersion"":""2024.3""}}}},""apiEndpoint"":""https://api.amazonalexa.com"",""apiAccessToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6IjEifQ.eyJhdWQiOiJodHRwczovL2FwaS5hbWF6b25hbGV4YS5jb20iLCJpc3MiOiJBbGV4YVNraWxsS2l0Iiwic3ViIjoiYW16bjEuYXNrLnNraWxsLmQxZTQ5MzZmLTU5NzYtNGQ5NS04MWU4LTUyZmJlYmUwYTMwNCIsImV4cCI6MTc0MzUyMzcyMywiaWF0IjoxNzQzNTIzNjYzLCJuYmYiOjE3NDM1MjM2NjMsInByaXZhdGVDbGFpbXMiOnsiaXNGb3JSQSI6ImZhbHNlIiwiY29udGV4dCI6IkFBQUFBQUFBQUFCVUIza0VNQ2ZSZVdsb1gydXd3WWR2ZUFFQUFBQUFBQURCb2ptc0ZEU0lzWGl5RnBYQ1hablFGN0phL2VnTGZEeEpzYnBQZEFIamhvUkd0NnQxOSs0Sk81TXlGaGR2dWZ6M0xTaEU0TENWaUtTTFB2MUxnVUt4MzB3MTBZOTRhdlphWFBDT2pXOURLY0dzdytwZmpCQmFqbGhIbFdWTlZ2Skp0WUIrVjRjaGc4NXh1RnVUdnRHb1VUcmJvMzlyc2kyTXZUam55elBzZHdiWjNRQURBMDA2YVJGYy8rSTdiN2RzZVJrTFNSdXY5U1h1eHVqT0JIdnVPZWpTN2M5U0xSSUpUM3dRYTlNZVp6N0Y4VHRTa1l4RFpVZ0tLUjF0OXA1cGFRMXA3ZW9wTEV3UXhjNjYwMkdDaGlGUjlFWk1vcFdiL2lhM3k5T3Q3OVY5VFpSM1Yzc1creklEZ1pvdjVyUWpxSHN1b3Jab0tVU0dnMU5kdjZqbm9sd0hRRGhhblprVlVhVWZ2MGFKS2tNYzRZSGFTTDY1bkhOTmJQQlpXcmhPVWtnek1HM2FtLytSYUVIbUc4RHd5SmZsc2FtSVNrY3ByUDVWR0hoaDdOamlLMUhIdGxxYm92anZyS3FUYmIxMlNqRzQvdXA4ci96V2NWQ0cwdmNkQUFWQTlIK21CNzkxVTNUN3k4QjZFWFN1RUlnYitTTGgiLCJkZXZpY2VJZCI6ImFtem4xLmFzay5kZXZpY2UuQU1BNVFONTNDMzZLU0VTNlY0U0xaVFFMUU0zTkFLWUZBTEVJSEVWSDVBQk9LTlBESk01SlNDTEkzU1c1QTVKQUdUWk8zUlJKWE9EUU1ON1gzV1BUM1ZQNEVYVzNEREFVMlpIRTM1Szc3VTU3VlFONkZDU1JGSklKS1Q3VEJZREZEN1hRTUhIMkdLN0dJU1kyTDdBQlFUQ0NQMjRMM05EUzQ3TU9QQktCVUVFMkdIUlpPUTY2UUFRNjdWVUVOSlpGRkJUNkxMS0hPTVFCVFU0UCIsInVzZXJJZCI6ImFtem4xLmFzay5hY2NvdW50LkFNQVdQVEI1U1RKRUZUWEFGWVRUMjNZTlFTVUdFVzJOVUhEUzNPSEhWRDQ2QlRKRUQzNjZYTUhXNUZXRFpBQUFGRVM2VU1XNEtKS0s1UllQRUNKU0xQQjdJVk5ZR01NSDNBTVRQNTRLTUg3QVc1U1YyQUdEWjNHTlpGWkVGTElTV0oyWVZXTkhORUtLWEpYUlM3NzRGNFVGS0RDN1NTNFZUWFJIUFROQ1REUkJYRUlYTjRQSExaQURMU01MSE82Qk1YS0E0TUlYTzZOT1QzSzNRSVNNWTdMS1FXNk5TU1hHSk1PRkQ1SlNWR09BIn19.RUDy0aclCM1pPZhM_8y547t53nFVBr_K-1JWnOPNW9mwjCEsI2iC4-NWPmT-cu0xvIWYVGxE2DhgoaGEmdMtEaB9dobsjZQlshpJu763Ob7MLB3bxINJ1eSk-V6Ii7a8AZbbdTgtoapetLw8FOfTZNwJmKNw4e6cSa2ZaBUiSam6oNLAkxPo515RCOeww9t1tA1FNr_hnOV0tGlPg-4bGhkN9oT3d6Le-Fx3nGxC-CrlJYJ3e1wQ-GNX-cQF2lDJlS7wEylAnsj6sCSfL1gn1PhhFl7lJuK6WfVSQWWiY5AJcj5erFVEcaJaUC45u8zmdsYgZqC1dFeu9C7xrxyP1A""}},""request"":{""type"":""SessionEndedRequest"",""requestId"":""amzn1.echo-api.request.6055fe64-f8fe-4761-9c78-7f9fc7280a69"",""timestamp"":""2025-04-01T16:07:43Z"",""locale"":""en-US"",""reason"":""USER_INITIATED""}}
"
1743523664630,"END RequestId: 85719e1f-1614-4c33-8ce2-c0002c7658b1
"
1743523664630,"REPORT RequestId: 85719e1f-1614-4c33-8ce2-c0002c7658b1	Duration: 36.33 ms	Billed Duration: 37 ms	Memory Size: 512 MB	Max Memory Used: 93 MB	Init Duration: 827.47 ms	
"
1743523664680,"START RequestId: 7c99d77c-977b-4887-b958-eaaf71905e84 Version: 193
"
1743523664682,"2025-04-01T16:07:44.682Z	7c99d77c-977b-4887-b958-eaaf71905e84	INFO	------------------- Got LaunchRequest -------------------
"
1743523664686,"END RequestId: 7c99d77c-977b-4887-b958-eaaf71905e84
"
1743523664686,"REPORT RequestId: 7c99d77c-977b-4887-b958-eaaf71905e84	Duration: 6.76 ms	Billed Duration: 7 ms	Memory Size: 512 MB	Max Memory Used: 93 MB	
"
