timestamp,message
1743526765102,"INIT_START Runtime Version: nodejs:16.v70	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:46b99f635743b15febf77bc6d1f44226c4c9a8f3011afaeab9001daeca28753c
"
1743526765972,"START RequestId: 61a5442a-b5df-4d37-84aa-2852028cf6e7 Version: 201
"
1743526766025,"2025-04-01T16:59:26.025Z	61a5442a-b5df-4d37-84aa-2852028cf6e7	INFO	~~~~~~~~~~~~ Session ended with reason: USER_INITIATED ~~~~~~~~~~~~
      
"
1743526766026,"2025-04-01T16:59:26.026Z	61a5442a-b5df-4d37-84aa-2852028cf6e7	INFO	~~~~~~~~~~~~ Session ended ~~~~~~~~~~~~ {""version"":""1.0"",""session"":{""new"":false,""sessionId"":""amzn1.echo-api.session.4be6ff4f-8d95-4f1d-8c5f-a6bf535a4c7f"",""application"":{""applicationId"":""amzn1.ask.skill.d1e4936f-5976-4d95-81e8-52fbebe0a304""},""attributes"":{""awaitingStoryConfirmation"":false},""user"":{""userId"":""amzn1.ask.account.AMAWPTB5STJEFTXAFYTT23YNQSUGEW2NUHDS3OHHVD46BTJED366XMHW5FWDZAAAFES6UMW4KJKK5RYPECJSLPB7IVNYGMMH3AMTP54KMH7AW5SV2AGDZ3GNZFZEFLISWJ2YVWNHNEKKXJXRS774F4UFKDC7SS4VTXRHPTNCTDRBXEIXN4PHLZADLSMLHO6BMXKA4MIXO6NOT3K3QISMY7LKQW6NSSXGJMOFD5JSVGOA""}},""context"":{""Viewports"":[{""type"":""APL"",""id"":""medHub"",""shape"":""RECTANGLE"",""dpi"":160,""presentationType"":""OVERLAY"",""canRotate"":false,""configuration"":{""current"":{""mode"":""HUB"",""video"":{""codecs"":[""H_264_42"",""H_264_41""]},""size"":{""type"":""DISCRETE"",""pixelWidth"":1280,""pixelHeight"":800}}}}],""Viewport"":{""experiences"":[{""arcMinuteWidth"":221,""arcMinuteHeight"":162,""canRotate"":false,""canResize"":false}],""mode"":""HUB"",""shape"":""RECTANGLE"",""pixelWidth"":1280,""pixelHeight"":800,""dpi"":160,""currentPixelWidth"":1280,""currentPixelHeight"":800,""touch"":[""SINGLE""],""keyboard"":[""DIRECTION""],""video"":{""codecs"":[""H_264_42"",""H_264_41""]}},""System"":{""application"":{""applicationId"":""amzn1.ask.skill.d1e4936f-5976-4d95-81e8-52fbebe0a304""},""user"":{""userId"":""amzn1.ask.account.AMAWPTB5STJEFTXAFYTT23YNQSUGEW2NUHDS3OHHVD46BTJED366XMHW5FWDZAAAFES6UMW4KJKK5RYPECJSLPB7IVNYGMMH3AMTP54KMH7AW5SV2AGDZ3GNZFZEFLISWJ2YVWNHNEKKXJXRS774F4UFKDC7SS4VTXRHPTNCTDRBXEIXN4PHLZADLSMLHO6BMXKA4MIXO6NOT3K3QISMY7LKQW6NSSXGJMOFD5JSVGOA""},""device"":{""deviceId"":""amzn1.ask.device.AMA5QN53C36KSES6V4SLZTQLQM3NAKYFALEIHEVH5ABOKNPDJM5JSCLI3SW5A5JAGTZO3RRJXODQMN7X3WPT3VP4EXW3DDAU2ZHE35K77U57VQN6FCSRFJIJKT7TBYDFD7XQMHH2GK7GISY2L7ABQTCCP24L3NDS47MOPBKBUEE2GHRZOQ66QAQ67VUENJZFFBT6LLKHOMQBTU4P"",""supportedInterfaces"":{""Alexa.Presentation.APL"":{""runtime"":{""maxVersion"":""2024.3""}}}},""apiEndpoint"":""https://api.amazonalexa.com"",""apiAccessToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6IjEifQ.eyJhdWQiOiJodHRwczovL2FwaS5hbWF6b25hbGV4YS5jb20iLCJpc3MiOiJBbGV4YVNraWxsS2l0Iiwic3ViIjoiYW16bjEuYXNrLnNraWxsLmQxZTQ5MzZmLTU5NzYtNGQ5NS04MWU4LTUyZmJlYmUwYTMwNCIsImV4cCI6MTc0MzUyNjgyNCwiaWF0IjoxNzQzNTI2NzY0LCJuYmYiOjE3NDM1MjY3NjQsInByaXZhdGVDbGFpbXMiOnsiaXNGb3JSQSI6ImZhbHNlIiwiY29udGV4dCI6IkFBQUFBQUFBQUFCVUIza0VNQ2ZSZVdsb1gydXd3WWR2ZUFFQUFBQUFBQURrVkRpeC8zYWtNSEJyMGlsVFVFaHRkbUI5TWlNUzg5a1BVZ3M5TmtoSXNsWDZUemxFNVJ3akdkNmZPWjZSb3prTEpuOXJNRDhLS1NmMXNqMXdvUW82emhIRkRxR3d6dXd3ZmZrem5ET0cyNVErOEVIOFlXTEN6YTRITnh4Z2ZPVE9TYmVHa1U1VFh1TkNta1h2blpHQ2lkblk1YjBWL2N5SkpWc1BMTkE0bGRWYzJYd0V6Ti9uZCtkR2E5UkZsaUhrbnltYXVyVzdkaXpmTU1pYitMMytha0N0ZnFqN1FRUzJWcnlPSTJMemgrOWRuOUsvMTBMaG9sU24ramNlODl1alk0RkFBMUJjZ1o1M1A2Z1E2QWJtZ2xjOTZlYWY4bjloakpnQnBqVFBHNUN6eGR1Sy91bVhDMDJFVlZobmF5bVRpUEVkQXRSR29CVnZBVGxuV0xBSjB0bjZWcG0zUjB0QW83a2J2c1FIOFZUSDZKRjl6MHBYdDc1bTE2Vm8vOThEMFRrVWFlaC9HSlVydGpDaGE5Zm1NK0ZyMXQ0ZXBtZklCbzhtMzVmVHBTMmhSRFkxRDJFZHkwRVdIZmFSRzBYOVRpU0E4dzByNCtESkxVMFJ6eERwMGFlQlBGUzd4T1FIRDhIblhlWXhFNnZBNUJFdkVlbTciLCJkZXZpY2VJZCI6ImFtem4xLmFzay5kZXZpY2UuQU1BNVFONTNDMzZLU0VTNlY0U0xaVFFMUU0zTkFLWUZBTEVJSEVWSDVBQk9LTlBESk01SlNDTEkzU1c1QTVKQUdUWk8zUlJKWE9EUU1ON1gzV1BUM1ZQNEVYVzNEREFVMlpIRTM1Szc3VTU3VlFONkZDU1JGSklKS1Q3VEJZREZEN1hRTUhIMkdLN0dJU1kyTDdBQlFUQ0NQMjRMM05EUzQ3TU9QQktCVUVFMkdIUlpPUTY2UUFRNjdWVUVOSlpGRkJUNkxMS0hPTVFCVFU0UCIsInVzZXJJZCI6ImFtem4xLmFzay5hY2NvdW50LkFNQVdQVEI1U1RKRUZUWEFGWVRUMjNZTlFTVUdFVzJOVUhEUzNPSEhWRDQ2QlRKRUQzNjZYTUhXNUZXRFpBQUFGRVM2VU1XNEtKS0s1UllQRUNKU0xQQjdJVk5ZR01NSDNBTVRQNTRLTUg3QVc1U1YyQUdEWjNHTlpGWkVGTElTV0oyWVZXTkhORUtLWEpYUlM3NzRGNFVGS0RDN1NTNFZUWFJIUFROQ1REUkJYRUlYTjRQSExaQURMU01MSE82Qk1YS0E0TUlYTzZOT1QzSzNRSVNNWTdMS1FXNk5TU1hHSk1PRkQ1SlNWR09BIn19.ab_Ug9hKgXcWpBRrKZIFyBLWv6TOJzUCzhFj-6GVpKlkOE42K1hmjiR0BZtZZ-Pppe2K00vhYna7AGpscA5WqP5s6U_lrfrmdMz06u2NopchaGhz-GELHms3WOqJcET253yn5wkaLO0Ria6E3XViSC9mA-r3E3_OZPwajRSnNBgc74wd_Ya_nluHNLTCc9bmf8kEf1UNHl-1ajtsO0XbSTjHTzufMpWLkKB7399x8TztI8K6H3OTxEJWlJ_5VTN0DbI1_ZKAwNeY5NK5vt1jm1hQOKoz7j0WKJ4nhLAHz5TgkQfLY3cxywpCQLhIRUZahHeax548mrGaRK852lleIA""}},""request"":{""type"":""SessionEndedRequest"",""requestId"":""amzn1.echo-api.request.1c05c62c-034e-4f32-8ae6-da5945cc95f2"",""timestamp"":""2025-04-01T16:59:24Z"",""locale"":""en-US"",""reason"":""USER_INITIATED""}}
"
1743526766029,"END RequestId: 61a5442a-b5df-4d37-84aa-2852028cf6e7
"
1743526766029,"REPORT RequestId: 61a5442a-b5df-4d37-84aa-2852028cf6e7	Duration: 57.76 ms	Billed Duration: 58 ms	Memory Size: 512 MB	Max Memory Used: 93 MB	Init Duration: 868.37 ms	
"
1743526766139,"START RequestId: e51a3b6f-d72a-4fbc-8f64-e435f967d34e Version: 201
"
1743526766142,"2025-04-01T16:59:26.142Z	e51a3b6f-d72a-4fbc-8f64-e435f967d34e	INFO	------------------- Got LaunchRequest -------------------
"
1743526766144,"END RequestId: e51a3b6f-d72a-4fbc-8f64-e435f967d34e
"
1743526766144,"REPORT RequestId: e51a3b6f-d72a-4fbc-8f64-e435f967d34e	Duration: 4.45 ms	Billed Duration: 5 ms	Memory Size: 512 MB	Max Memory Used: 93 MB	
"
